feature,importance
log_ld50,0.21469659854927348
ld50_rat_oral_mgkg,0.19911860269664328
hbonddonorcount,0.07061932457459091
tpsa,0.06675798885542543
xlogp,0.06492414351689552
cid,0.05934057656138512
rotatablebondcount,0.04687077506138964
log_molecularweight,0.04498816250182307
molecularweight,0.04426801572313369
complexity,0.042941471462523334
hbondacceptorcount,0.02999038423492309
name_length,0.027966380764534008
toxicity_weighted,0.02755083237048892
heavyatomcount,0.02527754449410308
total_hazard_flags,0.013348145646222826
is_neurotoxin,0.00542077989423286
is_endocrine_disruptor,0.0043025673938805985
is_carcinogen,0.0027603333193199162
is_pbt,0.0022865502821356296
is_reproductive_toxin,0.002220873776713941
special_chars,0.001721020035116469
has_hyphen,0.0014533303354464786
word_count,0.0011755979497986798
charge,0.0
has_number,0.0
has_parenthesis,0.0
